问答对,answer,#1问句类型,#1领域类型,#1语义类型,#2问句类型,#2领域类型,#2语义类型
1988年卡尔加里冬奥会瑞典获得了多少枚银牌？,0枚,How,Competition,Calculation,NA,NA,NA
1988年卡尔加里冬奥会瑞典获得了多少枚铜牌？,2枚,How,Competition,Calculation,NA,NA,NA
1988年卡尔加里冬奥会瑞典总共获得了多少枚奖牌？,6枚,How,Competition,Calculation,NA,NA,NA
1988年卡尔加里冬奥会奥地利获得了第几名？,第6名,Which,Competition,Factoid,NA,NA,NA
1988年卡尔加里冬奥会奥地利获得了多少枚金牌？,3枚,How,Competition,Calculation,NA,NA,NA
1988年卡尔加里冬奥会奥地利获得了多少枚银牌？,5枚,How,Competition,Calculation,NA,NA,NA
1988年卡尔加里冬奥会奥地利获得了多少枚铜牌？,2枚,How,Competition,Calculation,NA,NA,NA
1988年卡尔加里冬奥会奥地利总共获得了多少枚奖牌？,10枚,How,Competition,Calculation,NA,NA,NA
1988年卡尔加里冬奥会荷兰获得了第几名？,第7名,Which,Competition,Factoid,NA,NA,NA
1988年卡尔加里冬奥会荷兰获得了多少枚金牌？,3枚,How,Competition,Calculation,NA,NA,NA
1988年卡尔加里冬奥会荷兰获得了多少枚银牌？,2枚,How,Competition,Calculation,NA,NA,NA
1988年卡尔加里冬奥会荷兰获得了多少枚铜牌？,2枚,How,Competition,Calculation,NA,NA,NA
1988年卡尔加里冬奥会荷兰总共获得了多少枚奖牌？,7枚,How,Competition,Calculation,NA,NA,NA
1988年卡尔加里冬奥会联邦德国获得了第几名？,第8名,Which,Competition,Factoid,NA,NA,NA
1988年卡尔加里冬奥会联邦德国获得了多少枚金牌？,2枚,How,Competition,Calculation,NA,NA,NA
1988年卡尔加里冬奥会联邦德国获得了多少枚银牌？,4枚,How,Competition,Calculation,NA,NA,NA
1988年卡尔加里冬奥会联邦德国获得了多少枚铜牌？,2枚,How,Competition,Calculation,NA,NA,NA
1988年卡尔加里冬奥会联邦德国总共获得了多少枚奖牌？,8枚,How,Competition,Calculation,NA,NA,NA
1988年卡尔加里冬奥会美国获得了第几名？,第9名,Which,Competition,Factoid,NA,NA,NA
1988年卡尔加里冬奥会美国获得了多少枚金牌？,2枚,How,Competition,Calculation,NA,NA,NA
1988年卡尔加里冬奥会美国获得了多少枚银牌？,1枚,How,Competition,Calculation,NA,NA,NA
1988年卡尔加里冬奥会美国获得了多少枚铜牌？,3枚,How,Competition,Calculation,NA,NA,NA
1988年卡尔加里冬奥会美国总共获得了多少枚奖牌？,6枚,How,Competition,Calculation,NA,NA,NA
1988年卡尔加里冬奥会意大利获得了第几名？,第10名,Which,Competition,Factoid,NA,NA,NA
1988年卡尔加里冬奥会意大利获得了多少枚金牌？,2枚,How,Competition,Calculation,NA,NA,NA
1988年卡尔加里冬奥会意大利获得了多少枚银牌？,1枚,How,Competition,Calculation,NA,NA,NA
1988年卡尔加里冬奥会意大利获得了多少枚铜牌？,2枚,How,Competition,Calculation,NA,NA,NA
1988年卡尔加里冬奥会意大利总共获得了多少枚奖牌？,5枚,How,Competition,Calculation,NA,NA,NA
1988年卡尔加里冬奥会法国获得了第几名？,第11名,Which,Competition,Factoid,NA,NA,NA
1988年卡尔加里冬奥会法国获得了多少枚金牌？,1枚,How,Competition,Calculation,NA,NA,NA
1988年卡尔加里冬奥会法国获得了多少枚银牌？,0枚,How,Competition,Calculation,NA,NA,NA
1988年卡尔加里冬奥会法国获得了多少枚铜牌？,1枚,How,Competition,Calculation,NA,NA,NA
1988年卡尔加里冬奥会法国总共获得了多少枚奖牌？,2枚,How,Competition,Calculation,NA,NA,NA
1988年卡尔加里冬奥会挪威获得了第几名？,第12名,Which,Competition,Factoid,NA,NA,NA
1988年卡尔加里冬奥会挪威获得了多少枚金牌？,0枚,How,Competition,Calculation,NA,NA,NA
1988年卡尔加里冬奥会挪威获得了多少枚银牌？,3枚,How,Competition,Calculation,NA,NA,NA
1988年卡尔加里冬奥会挪威获得了多少枚铜牌？,2枚,How,Competition,Calculation,NA,NA,NA
1988年卡尔加里冬奥会挪威总共获得了多少枚奖牌？,5枚,How,Competition,Calculation,NA,NA,NA
1988年卡尔加里冬奥会加拿大获得了第几名？,第13名,Which,Competition,Factoid,NA,NA,NA
1988年卡尔加里冬奥会加拿大获得了多少枚金牌？,0枚,How,Competition,Calculation,NA,NA,NA
1988年卡尔加里冬奥会加拿大获得了多少枚银牌？,2枚,How,Competition,Calculation,NA,NA,NA
1988年卡尔加里冬奥会加拿大获得了多少枚铜牌？,3枚,How,Competition,Calculation,NA,NA,NA
1988年卡尔加里冬奥会加拿大总共获得了多少枚奖牌？,5枚,How,Competition,Calculation,NA,NA,NA
1988年卡尔加里冬奥会南斯拉夫获得了第几名？,第14名,Which,Competition,Factoid,NA,NA,NA
1988年卡尔加里冬奥会南斯拉夫获得了多少枚金牌？,0枚,How,Competition,Calculation,NA,NA,NA
1988年卡尔加里冬奥会南斯拉夫获得了多少枚银牌？,2枚,How,Competition,Calculation,NA,NA,NA
1988年卡尔加里冬奥会南斯拉夫获得了多少枚铜牌？,1枚,How,Competition,Calculation,NA,NA,NA
1988年卡尔加里冬奥会南斯拉夫总共获得了多少枚奖牌？,3枚,How,Competition,Calculation,NA,NA,NA
1988年卡尔加里冬奥会捷克斯洛伐克获得了第几名？,第15名,Which,Competition,Factoid,NA,NA,NA
1988年卡尔加里冬奥会捷克斯洛伐克获得了多少枚金牌？,0枚,How,Competition,Calculation,NA,NA,NA
1988年卡尔加里冬奥会捷克斯洛伐克获得了多少枚银牌？,1枚,How,Competition,Calculation,NA,NA,NA
1988年卡尔加里冬奥会捷克斯洛伐克获得了多少枚铜牌？,2枚,How,Competition,Calculation,NA,NA,NA
1988年卡尔加里冬奥会捷克斯洛伐克总共获得了多少枚奖牌？,3枚,How,Competition,Calculation,NA,NA,NA
1988年卡尔加里冬奥会日本获得了第几名？,第16名,Which,Competition,Factoid,NA,NA,NA
1988年卡尔加里冬奥会日本获得了多少枚金牌？,0枚,How,Competition,Calculation,NA,NA,NA
1988年卡尔加里冬奥会日本获得了多少枚银牌？,0枚,How,Competition,Calculation,NA,NA,NA
1988年卡尔加里冬奥会日本获得了多少枚铜牌？,1枚,How,Competition,Calculation,NA,NA,NA
1988年卡尔加里冬奥会日本总共获得了多少枚奖牌？,1枚,How,Competition,Calculation,NA,NA,NA
1988年卡尔加里冬奥会列支敦士登获得了第几名？,第17名,Which,Competition,Factoid,NA,NA,NA
1988年卡尔加里冬奥会列支敦士登获得了多少枚金牌？,0枚,How,Competition,Calculation,NA,NA,NA
1988年卡尔加里冬奥会列支敦士登获得了多少枚银牌？,0枚,How,Competition,Calculation,NA,NA,NA
1988年卡尔加里冬奥会列支敦士登获得了多少枚铜牌？,1枚,How,Competition,Calculation,NA,NA,NA
1988年卡尔加里冬奥会列支敦士登总共获得了多少枚奖牌？,1枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会德国获得了第几名？,第1名,Which,Competition,Factoid,NA,NA,NA
1992年阿尔贝维尔冬奥会德国获得了多少枚金牌？,10枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会德国获得了多少枚银牌？,10枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会德国获得了多少枚铜牌？,6枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会德国总共获得了多少枚奖牌？,26枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会独联体获得了第几名？,第2名,Which,Competition,Factoid,NA,NA,NA
1992年阿尔贝维尔冬奥会独联体获得了多少枚金牌？,9枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会独联体获得了多少枚银牌？,6枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会独联体获得了多少枚铜牌？,8枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会独联体总共获得了多少枚奖牌？,23枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会挪威获得了第几名？,第3名,Which,Competition,Factoid,NA,NA,NA
1992年阿尔贝维尔冬奥会挪威获得了多少枚金牌？,9枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会挪威获得了多少枚银牌？,6枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会挪威获得了多少枚铜牌？,5枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会挪威总共获得了多少枚奖牌？,20枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会奥地利获得了第几名？,第4名,Which,Competition,Factoid,NA,NA,NA
1992年阿尔贝维尔冬奥会奥地利获得了多少枚金牌？,6枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会奥地利获得了多少枚银牌？,7枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会奥地利获得了多少枚铜牌？,8枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会奥地利总共获得了多少枚奖牌？,21枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会美国获得了第几名？,第5名,Which,Competition,Factoid,NA,NA,NA
1992年阿尔贝维尔冬奥会美国获得了多少枚金牌？,5枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会美国获得了多少枚银牌？,4枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会美国获得了多少枚铜牌？,2枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会美国总共获得了多少枚奖牌？,11枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会意大利获得了第几名？,第6名,Which,Competition,Factoid,NA,NA,NA
1992年阿尔贝维尔冬奥会意大利获得了多少枚金牌？,4枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会意大利获得了多少枚银牌？,6枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会意大利获得了多少枚铜牌？,4枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会意大利总共获得了多少枚奖牌？,14枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会法国获得了第几名？,第7名,Which,Competition,Factoid,NA,NA,NA
1992年阿尔贝维尔冬奥会法国获得了多少枚金牌？,3枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会法国获得了多少枚银牌？,5枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会法国获得了多少枚铜牌？,1枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会法国总共获得了多少枚奖牌？,9枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会芬兰获得了第几名？,第8名,Which,Competition,Factoid,NA,NA,NA
1992年阿尔贝维尔冬奥会芬兰获得了多少枚金牌？,3枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会芬兰获得了多少枚银牌？,1枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会芬兰获得了多少枚铜牌？,3枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会芬兰总共获得了多少枚奖牌？,7枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会加拿大获得了第几名？,第9名,Which,Competition,Factoid,NA,NA,NA
1992年阿尔贝维尔冬奥会加拿大获得了多少枚金牌？,2枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会加拿大获得了多少枚银牌？,3枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会加拿大获得了多少枚铜牌？,2枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会加拿大总共获得了多少枚奖牌？,7枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会韩国获得了第几名？,第10名,Which,Competition,Factoid,NA,NA,NA
1992年阿尔贝维尔冬奥会韩国获得了多少枚金牌？,2枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会韩国获得了多少枚银牌？,1枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会韩国获得了多少枚铜牌？,1枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会韩国总共获得了多少枚奖牌？,4枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会日本获得了第几名？,第11名,Which,Competition,Factoid,NA,NA,NA
1992年阿尔贝维尔冬奥会日本获得了多少枚金牌？,1枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会日本获得了多少枚银牌？,2枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会日本获得了多少枚铜牌？,4枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会日本总共获得了多少枚奖牌？,7枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会荷兰获得了第几名？,第12名,Which,Competition,Factoid,NA,NA,NA
1992年阿尔贝维尔冬奥会荷兰获得了多少枚金牌？,1枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会荷兰获得了多少枚银牌？,1枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会荷兰获得了多少枚铜牌？,2枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会荷兰总共获得了多少枚奖牌？,4枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会瑞典获得了第几名？,第13名,Which,Competition,Factoid,NA,NA,NA
1992年阿尔贝维尔冬奥会瑞典获得了多少枚金牌？,1枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会瑞典获得了多少枚银牌？,0枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会瑞典获得了多少枚铜牌？,3枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会瑞典总共获得了多少枚奖牌？,4枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会瑞士获得了第几名？,第14名,Which,Competition,Factoid,NA,NA,NA
1992年阿尔贝维尔冬奥会瑞士获得了多少枚金牌？,1枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会瑞士获得了多少枚银牌？,0枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会瑞士获得了多少枚铜牌？,2枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会瑞士总共获得了多少枚奖牌？,3枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会中国获得了第几名？,第15名,Which,Competition,Factoid,NA,NA,NA
1992年阿尔贝维尔冬奥会中国获得了多少枚金牌？,0枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会中国获得了多少枚银牌？,3枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会中国获得了多少枚铜牌？,0枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会中国总共获得了多少枚奖牌？,3枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会列支敦士登获得了第几名？,第16名,Which,Competition,Factoid,NA,NA,NA
1992年阿尔贝维尔冬奥会列支敦士登获得了多少枚金牌？,0枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会列支敦士登获得了多少枚银牌？,2枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会列支敦士登获得了多少枚铜牌？,0枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会列支敦士登总共获得了多少枚奖牌？,2枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会新西兰获得了第几名？,第17名,Which,Competition,Factoid,NA,NA,NA
1992年阿尔贝维尔冬奥会新西兰获得了多少枚金牌？,0枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会新西兰获得了多少枚银牌？,1枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会新西兰获得了多少枚铜牌？,0枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会新西兰总共获得了多少枚奖牌？,1枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会捷克斯洛伐克获得了第几名？,第18名,Which,Competition,Factoid,NA,NA,NA
1992年阿尔贝维尔冬奥会捷克斯洛伐克获得了多少枚金牌？,0枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会捷克斯洛伐克获得了多少枚银牌？,0枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会捷克斯洛伐克获得了多少枚铜牌？,3枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会捷克斯洛伐克总共获得了多少枚奖牌？,3枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会朝鲜获得了第几名？,第19名,Which,Competition,Factoid,NA,NA,NA
1992年阿尔贝维尔冬奥会朝鲜获得了多少枚金牌？,0枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会朝鲜获得了多少枚银牌？,0枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会朝鲜获得了多少枚铜牌？,1枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会朝鲜总共获得了多少枚奖牌？,1枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会西班牙获得了第几名？,第20名,Which,Competition,Factoid,NA,NA,NA
1992年阿尔贝维尔冬奥会西班牙获得了多少枚金牌？,0枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会西班牙获得了多少枚银牌？,0枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会西班牙获得了多少枚铜牌？,1枚,How,Competition,Calculation,NA,NA,NA
1992年阿尔贝维尔冬奥会西班牙总共获得了多少枚奖牌？,1枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会俄罗斯获得了第几名？,第1名,Which,Competition,Factoid,NA,NA,NA
1994年利勒哈默尔冬奥会俄罗斯获得了多少枚金牌？,11枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会俄罗斯获得了多少枚银牌？,8枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会俄罗斯获得了多少枚铜牌？,4枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会俄罗斯总共获得了多少枚奖牌？,23枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会挪威获得了第几名？,第2名,Which,Competition,Factoid,NA,NA,NA
1994年利勒哈默尔冬奥会挪威获得了多少枚金牌？,10枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会挪威获得了多少枚银牌？,11枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会挪威获得了多少枚铜牌？,5枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会挪威总共获得了多少枚奖牌？,26枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会德国获得了第几名？,第3名,Which,Competition,Factoid,NA,NA,NA
1994年利勒哈默尔冬奥会德国获得了多少枚金牌？,9枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会德国获得了多少枚银牌？,7枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会德国获得了多少枚铜牌？,8枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会德国总共获得了多少枚奖牌？,24枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会意大利获得了第几名？,第4名,Which,Competition,Factoid,NA,NA,NA
1994年利勒哈默尔冬奥会意大利获得了多少枚金牌？,7枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会意大利获得了多少枚银牌？,5枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会意大利获得了多少枚铜牌？,8枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会意大利总共获得了多少枚奖牌？,20枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会美国获得了第几名？,第5名,Which,Competition,Factoid,NA,NA,NA
1994年利勒哈默尔冬奥会美国获得了多少枚金牌？,6枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会美国获得了多少枚银牌？,5枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会美国获得了多少枚铜牌？,2枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会美国总共获得了多少枚奖牌？,13枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会韩国获得了第几名？,第6名,Which,Competition,Factoid,NA,NA,NA
1994年利勒哈默尔冬奥会韩国获得了多少枚金牌？,4枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会韩国获得了多少枚银牌？,1枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会韩国获得了多少枚铜牌？,1枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会韩国总共获得了多少枚奖牌？,6枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会加拿大获得了第几名？,第7名,Which,Competition,Factoid,NA,NA,NA
1994年利勒哈默尔冬奥会加拿大获得了多少枚金牌？,3枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会加拿大获得了多少枚银牌？,6枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会加拿大获得了多少枚铜牌？,4枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会加拿大总共获得了多少枚奖牌？,13枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会瑞士获得了第几名？,第8名,Which,Competition,Factoid,NA,NA,NA
1994年利勒哈默尔冬奥会瑞士获得了多少枚金牌？,3枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会瑞士获得了多少枚银牌？,4枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会瑞士获得了多少枚铜牌？,0枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会瑞士总共获得了多少枚奖牌？,7枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会奥地利获得了第几名？,第9名,Which,Competition,Factoid,NA,NA,NA
1994年利勒哈默尔冬奥会奥地利获得了多少枚金牌？,2枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会奥地利获得了多少枚银牌？,3枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会奥地利获得了多少枚铜牌？,2枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会奥地利总共获得了多少枚奖牌？,7枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会瑞典获得了第几名？,第10名,Which,Competition,Factoid,NA,NA,NA
1994年利勒哈默尔冬奥会瑞典获得了多少枚金牌？,2枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会瑞典获得了多少枚银牌？,1枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会瑞典获得了多少枚铜牌？,0枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会瑞典总共获得了多少枚奖牌？,3枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会日本获得了第几名？,第11名,Which,Competition,Factoid,NA,NA,NA
1994年利勒哈默尔冬奥会日本获得了多少枚金牌？,1枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会日本获得了多少枚银牌？,2枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会日本获得了多少枚铜牌？,1枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会日本总共获得了多少枚奖牌？,4枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会哈萨克斯坦获得了第几名？,第12名,Which,Competition,Factoid,NA,NA,NA
1994年利勒哈默尔冬奥会哈萨克斯坦获得了多少枚金牌？,1枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会哈萨克斯坦获得了多少枚银牌？,2枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会哈萨克斯坦获得了多少枚铜牌？,0枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会哈萨克斯坦总共获得了多少枚奖牌？,3枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会乌兹别克斯坦获得了第几名？,第13名,Which,Competition,Factoid,NA,NA,NA
1994年利勒哈默尔冬奥会乌兹别克斯坦获得了多少枚金牌？,1枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会乌兹别克斯坦获得了多少枚银牌？,0枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会乌兹别克斯坦获得了多少枚铜牌？,5枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会乌兹别克斯坦总共获得了多少枚奖牌？,6枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会乌克兰获得了第几名？,第14名,Which,Competition,Factoid,NA,NA,NA
1994年利勒哈默尔冬奥会乌克兰获得了多少枚金牌？,1枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会乌克兰获得了多少枚银牌？,0枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会乌克兰获得了多少枚铜牌？,0枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会乌克兰总共获得了多少枚奖牌？,1枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会白俄罗斯获得了第几名？,第15名,Which,Competition,Factoid,NA,NA,NA
1994年利勒哈默尔冬奥会白俄罗斯获得了多少枚金牌？,0枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会白俄罗斯获得了多少枚银牌？,2枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会白俄罗斯获得了多少枚铜牌？,4枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会白俄罗斯总共获得了多少枚奖牌？,6枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会芬兰获得了第几名？,第16名,Which,Competition,Factoid,NA,NA,NA
1994年利勒哈默尔冬奥会芬兰获得了多少枚金牌？,0枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会芬兰获得了多少枚银牌？,1枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会芬兰获得了多少枚铜牌？,3枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会芬兰总共获得了多少枚奖牌？,4枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会法国获得了第几名？,第17名,Which,Competition,Factoid,NA,NA,NA
1994年利勒哈默尔冬奥会法国获得了多少枚金牌？,0枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会法国获得了多少枚银牌？,1枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会法国获得了多少枚铜牌？,2枚,How,Competition,Calculation,NA,NA,NA
1994年利勒哈默尔冬奥会法国总共获得了多少枚奖牌？,3枚,How,Competition,Calculation,NA,NA,NA
